PLAYER_NAME,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
Aaron Gordon,ORL,23.0,3.2,5.2,0.609,0.3,1.0,0.347,0.5,1.3,0.384,0.4,1.3,0.296,0.8,2.0,0.404,0.9,2.7,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Aaron Holiday,IND,22.0,0.6,1.1,0.582,0.2,0.5,0.318,0.1,0.4,0.313,0.3,0.7,0.412,0.3,0.7,0.406,0.7,2.0,0.347,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Abdel Nader,OKC,25.0,0.8,1.4,0.565,0.2,0.4,0.391,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.9,0.364,0.3,0.8,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,BOS,33.0,2.3,3.4,0.688,0.8,1.4,0.553,0.5,1.0,0.493,0.8,1.4,0.558,0.4,1.3,0.353,0.9,2.1,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,POR,28.0,1.7,2.9,0.596,0.2,0.4,0.371,0.0,0.2,0.133,0.0,0.2,0.222,0.7,2.0,0.366,0.5,1.6,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Williams,BKN,26.0,0.8,1.0,0.8,0.4,0.8,0.5,0.4,0.6,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Alec Burks,SAC,27.0,1.5,2.7,0.555,0.2,0.7,0.239,0.1,0.5,0.267,0.2,0.8,0.255,0.4,1.0,0.381,0.7,1.8,0.366,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Alex Abrines,OKC,25.0,0.3,0.6,0.556,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.7,1.9,0.379,0.7,2.2,0.304,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0
Alex Caruso,LAL,25.0,1.7,3.5,0.494,0.2,0.4,0.455,0.2,0.7,0.25,0.1,0.4,0.333,0.4,0.9,0.429,0.6,1.3,0.469,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,ATL,26.0,2.8,4.6,0.612,0.2,0.6,0.347,0.1,0.2,0.316,0.1,0.2,0.235,0.6,1.6,0.341,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Poythress,ATL,25.0,1.4,2.5,0.566,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.1,0.0,0.4,1.0,0.421,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfonzo McKinnie,GSW,26.0,1.1,1.7,0.661,0.1,0.2,0.267,0.1,0.1,0.5,0.0,0.1,0.333,0.4,1.2,0.321,0.3,0.6,0.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alize Johnson,IND,23.0,0.1,0.4,0.333,0.1,0.4,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.2,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Crabbe,BKN,27.0,0.5,0.9,0.526,0.1,0.3,0.2,0.2,0.4,0.471,0.1,0.6,0.222,1.1,2.7,0.412,1.2,3.7,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Allonzo Trier,NYK,23.0,1.9,3.5,0.541,0.1,0.2,0.333,0.3,0.8,0.412,0.4,1.3,0.333,0.3,0.9,0.393,0.6,1.4,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amile Jefferson,ORL,26.0,0.8,1.1,0.769,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,PHI,32.0,1.1,1.5,0.684,0.2,0.6,0.313,0.0,0.1,0.667,0.0,0.0,1.0,0.1,0.3,0.176,0.2,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
