PLAYER_NAME,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
Aaron Gordon,ORL,24.0,3.1,4.7,0.653,0.4,1.0,0.356,0.6,1.6,0.337,0.2,1.1,0.197,0.4,1.5,0.306,0.8,2.5,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Aaron Holiday,IND,23.0,1.3,2.5,0.507,0.3,0.8,0.319,0.2,0.6,0.294,0.3,0.9,0.345,0.5,1.2,0.443,0.9,2.4,0.379,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,OKC,26.0,1.0,1.7,0.625,0.1,0.4,0.333,0.0,0.1,0.167,0.1,0.2,0.4,0.3,0.9,0.39,0.5,1.4,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Mokoka,CHI,21.0,0.5,1.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.7,0.375,0.3,0.7,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,WAS,23.0,0.4,0.8,0.526,0.1,0.1,0.667,0.1,0.2,0.6,0.0,0.0,1.0,0.4,1.2,0.348,0.3,1.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Al Horford,PHI,33.0,1.7,2.6,0.662,0.5,1.3,0.397,0.4,1.1,0.394,0.5,1.1,0.484,0.4,1.3,0.316,1.2,3.6,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,ORL,29.0,0.7,1.9,0.343,0.1,0.5,0.222,0.0,0.0,0.0,0.1,0.2,0.667,0.3,1.1,0.263,0.2,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,PHI,28.0,1.6,3.3,0.495,0.3,1.0,0.333,0.5,1.3,0.364,0.4,1.0,0.41,0.7,1.7,0.396,1.2,3.3,0.36,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.1,0.0
Alen Smailagic,GSW,19.0,1.0,1.2,0.824,0.1,0.4,0.333,0.0,0.2,0.0,0.1,0.1,0.5,0.1,0.5,0.143,0.1,0.4,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,LAL,26.0,1.1,1.8,0.621,0.1,0.3,0.176,0.0,0.2,0.0,0.1,0.3,0.278,0.3,0.8,0.348,0.4,1.1,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,SAC,26.0,2.6,3.9,0.661,0.5,0.8,0.575,0.1,0.2,0.417,0.0,0.1,0.2,0.2,0.6,0.323,0.1,0.5,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfonzo McKinnie,CLE,27.0,1.2,1.9,0.613,0.2,0.5,0.529,0.1,0.2,0.5,0.0,0.2,0.143,0.2,1.1,0.225,0.1,0.7,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alize Johnson,IND,24.0,0.5,0.8,0.6,0.1,0.3,0.333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Allen Crabbe,MIN,28.0,0.3,0.5,0.6,0.1,0.2,0.286,0.2,0.4,0.438,0.1,0.3,0.4,0.5,1.4,0.365,0.5,1.9,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Allonzo Trier,NYK,24.0,0.6,1.0,0.625,0.0,0.2,0.25,0.1,0.2,0.6,0.5,0.7,0.667,0.3,0.7,0.438,0.6,1.8,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amile Jefferson,ORL,27.0,0.3,0.7,0.375,0.1,0.2,0.333,0.1,0.2,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,LAC,22.0,0.5,1.2,0.385,0.2,0.6,0.4,0.4,0.6,0.8,0.1,0.3,0.333,0.1,0.4,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,CLE,26.0,6.2,10.2,0.61,0.9,2.5,0.379,0.1,0.3,0.176,0.0,0.1,0.167,0.1,0.2,0.25,0.0,0.4,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,MIA,36.0,0.9,1.1,0.75,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.3,0.75,0.5,1.3,0.389,0.2,0.5,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Andrew Wiggins,GSW,25.0,3.9,6.0,0.646,1.0,2.4,0.415,0.5,1.6,0.307,0.4,1.2,0.348,0.9,2.5,0.358,1.4,4.3,0.328,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
